#,UnlockCriteria1[0],UnlockCriteria1[1],UnlockCriteria1[2],UnlockCriteria1[3],UnlockCriteria1[4],UnlockCriteria1[5],UnlockCriteria2,UnlockCriteria3,UnlockCriteria4,Unknown1,Prerequisite,UnlockType1,UnlockType2,PrerequisiteType,UnlockHint,Unknown0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
1,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,False
2,81,0,0,0,0,0,1011039,5581045,22497,0,65970,5,16,1,51,False
3,82,0,0,0,0,0,22498,0,0,0,66047,5,5,1,41,False
4,183,0,0,0,0,0,68612,0,0,0,68611,5,2,1,43,False
5,190,0,0,0,0,0,68684,0,0,0,68683,5,2,1,43,False
6,154,0,0,0,0,0,68016,0,0,0,68015,5,2,1,43,False
7,172,0,0,0,0,0,68558,0,0,0,68508,5,2,1,43,False
8,59,0,0,0,0,0,66538,0,0,0,66522,5,2,1,41,False
9,199,0,0,0,0,0,69095,0,0,0,69094,5,2,1,54,False
10,121,0,0,0,0,0,67777,0,0,0,67776,5,2,1,42,False
11,122,0,0,0,0,0,67775,0,0,0,67774,5,2,1,42,False
12,127,0,0,0,0,0,67015,0,0,0,67014,5,2,1,52,False
13,194,0,0,0,0,0,68700,0,0,0,68699,5,2,1,0,False
14,85,0,0,0,0,0,66846,0,0,0,0,5,2,0,0,False
15,148,0,0,0,0,0,67899,0,0,0,67898,5,2,1,52,False
16,231,0,0,0,0,0,69602,0,0,0,69601,5,2,1,44,False
17,101,0,0,0,0,0,66962,0,0,0,66962,5,2,1,51,False
18,102,0,0,0,0,0,66961,0,0,0,66961,5,2,1,51,False
19,103,0,0,0,0,0,66963,0,0,0,66963,5,2,1,51,False
20,104,0,0,0,0,0,66852,0,0,0,66851,5,2,1,51,False
21,114,0,0,0,0,0,66038,0,0,0,66029,5,2,1,51,False
22,120,0,0,0,0,0,67705,0,0,0,67704,5,2,1,47,False
23,145,0,0,0,0,0,67921,0,0,0,67920,5,2,1,47,False
24,126,0,0,0,0,0,67862,0,0,0,67861,5,2,1,47,False
25,187,0,0,0,0,0,68688,0,0,0,68552,5,2,1,53,False
26,198,0,0,0,0,0,68704,0,0,0,68703,5,2,1,53,False
27,166,0,0,0,0,0,68498,0,0,0,68089,5,2,1,43,False
28,113,0,0,0,0,0,67114,0,0,0,66045,5,2,1,0,True
29,118,0,0,0,0,0,1011039,5581045,13706,0,65970,5,16,1,51,False
30,119,0,0,0,0,0,1011039,5581045,13707,0,65970,5,16,1,51,False
31,216,0,0,0,0,0,1011039,5581045,31404,0,65970,5,16,1,51,False
32,204,0,0,0,0,0,1032254,8157292,28613,0,69272,5,19,1,40,False
33,169,0,0,0,0,0,1019451,6708398,22494,0,68089,5,22,1,43,False
34,170,0,0,0,0,0,1019451,6708398,22462,0,68089,5,22,1,43,False
35,208,0,0,0,0,0,1031680,8104544,30112,0,69208,5,18,1,52,False
36,206,0,0,0,0,0,1031680,8104544,30110,0,69208,5,18,1,52,False
37,220,0,0,0,0,0,1031680,8104544,32826,0,69208,5,18,1,52,False
38,207,0,0,0,0,0,1031680,8104544,30111,0,69208,5,18,1,52,False
39,213,0,0,0,0,0,1031680,8104544,31401,0,69208,5,18,1,52,False
40,203,0,0,0,0,0,1031680,8104544,28612,0,69208,5,18,1,52,False
41,223,0,0,0,0,0,1031680,8104544,32829,0,69208,5,18,1,52,False
42,171,0,0,0,0,0,1025177,7244693,22496,0,65970,5,16,1,51,False
43,180,0,0,0,0,0,1025848,7397074,23365,0,68667,5,20,1,53,False
44,214,0,0,0,0,0,1034202,8395975,31402,0,69477,5,23,1,54,False
45,215,0,0,0,0,0,1034202,8395975,31403,0,69477,5,23,1,54,False
46,124,0,0,0,0,0,15095,0,0,0,0,5,12,0,0,False
47,146,0,0,0,0,0,21307,0,0,0,0,5,6,0,0,False
48,110,0,0,0,0,0,13004,0,0,0,0,5,6,0,0,False
49,125,0,0,0,0,0,20640,0,0,0,0,5,6,0,0,False
50,197,0,0,0,0,0,24235,0,0,0,0,5,6,0,0,False
51,202,0,0,0,0,0,28507,0,0,0,0,5,12,0,0,False
52,205,0,0,0,0,0,30109,0,0,0,0,5,12,0,0,False
53,211,0,0,0,0,0,31399,0,0,0,0,5,12,0,0,False
54,230,0,0,0,0,0,33703,0,0,0,0,5,6,0,0,False
55,191,0,0,0,0,0,24225,0,0,0,0,5,9,0,0,False
56,123,0,0,0,0,0,15096,0,0,0,0,5,12,0,0,False
57,128,0,0,0,0,0,15919,0,0,0,0,5,12,0,0,False
58,142,0,0,0,0,0,16931,0,0,0,0,5,12,0,0,False
59,153,0,0,0,0,0,20567,0,0,0,0,5,12,0,0,False
60,63,0,0,0,0,0,22460,0,0,0,0,5,12,0,0,False
61,232,0,0,0,0,0,33705,0,0,0,0,5,12,0,0,False
62,235,0,0,0,0,0,36916,0,0,0,0,5,6,0,0,False
63,239,0,0,0,0,0,36921,0,0,0,0,5,12,0,0,False
64,209,0,0,0,0,0,31338,0,0,0,0,5,6,0,0,False
65,229,0,0,0,0,0,33702,0,0,0,0,5,12,0,0,False
66,109,0,0,0,0,0,12040,0,0,0,0,5,6,0,0,False
67,130,0,0,0,0,0,15842,0,0,0,0,5,6,0,0,False
68,134,0,0,0,0,0,15842,0,0,0,0,5,6,0,0,False
69,131,0,0,0,0,0,15843,0,0,0,0,5,6,0,0,False
70,135,0,0,0,0,0,15843,0,0,0,0,5,6,0,0,False
71,132,0,0,0,0,0,15844,0,0,0,0,5,6,0,0,False
72,136,0,0,0,0,0,15844,0,0,0,0,5,6,0,0,False
73,129,0,0,0,0,0,15920,0,0,0,0,5,12,0,0,False
74,149,0,0,0,0,0,20641,0,0,0,0,5,6,0,0,False
75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
78,173,0,0,0,0,0,23361,0,0,0,0,5,12,0,0,False
79,174,0,0,0,0,0,23362,0,0,0,0,5,12,0,0,False
80,185,0,0,0,0,0,24220,0,0,0,0,5,12,0,0,False
81,186,0,0,0,0,0,24221,0,0,0,0,5,12,0,0,False
82,192,0,0,0,0,0,25003,0,0,0,0,5,12,0,0,False
83,193,0,0,0,0,0,25004,0,0,0,0,5,12,0,0,False
84,210,0,0,0,0,0,31398,0,0,0,0,5,12,0,0,False
85,212,0,0,0,0,0,31400,0,0,0,0,5,6,0,0,False
86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
87,241,0,0,0,0,0,36922,0,0,0,0,5,6,0,0,False
88,242,0,0,0,0,0,36922,0,0,0,0,5,6,0,0,False
89,138,0,0,0,0,0,16040,0,0,0,0,5,12,0,0,True
90,144,0,0,0,0,0,16041,0,0,0,0,5,12,0,0,True
91,62,0,0,0,0,0,22461,0,0,0,0,5,12,0,0,False
92,175,0,0,0,0,0,23363,0,0,0,0,5,12,0,0,True
93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
95,195,0,0,0,0,0,25001,0,0,0,0,5,7,0,0,False
96,181,0,0,0,0,0,23366,0,0,0,0,5,7,0,0,False
97,189,0,0,0,0,0,24224,0,0,0,0,5,7,0,0,False
98,224,0,0,0,0,0,32830,0,0,0,0,5,43,0,0,False
99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
